customerId,fullName,address,phone,email,credit,status,remarks
1,Pepe Honnan,Baranoa,307-117-8938,phonnan0@paypal.com,43863,false,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
2,Ronnie Screach,Batang,539-247-5641,rscreach1@hc360.com,37274,false,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
3,Dianemarie Reeves,Kingston,363-445-3496,dreeves2@dyndns.org,35607,true,Fusce consequat. Nulla nisl. Nunc nisl.
4,Waly Varndall,Hwasun,397-114-2126,wvarndall3@jiathis.com,47562,true,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
5,Anallese Laidlow,Idi Rayeuk,100-560-7842,alaidlow4@dion.ne.jp,42537,false,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
6,Marie Baterip,Taen Tengah,798-259-0612,mbaterip5@storify.com,16974,false,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
7,Shaylah Goulter,Kościelec,453-838-2416,sgoulter6@statcounter.com,46833,true,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
8,Sarina Turnbull,Abengourou,361-977-5885,sturnbull7@google.com,23511,false,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
9,Debra Jinkin,Terek,937-803-7392,djinkin8@youtu.be,26761,true,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
10,Walther Klimke,Furudate,815-894-7095,wklimke9@bigcartel.com,20223,true,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
11,Giffie Schole,Timiryazevo,797-314-5602,gscholea@smh.com.au,36163,true,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
12,Demetrius Book,Týn nad Vltavou,864-580-5688,dbookb@jimdo.com,11183,false,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
13,Bunny Basham,Shirochanka,904-714-7256,bbashamc@pagesperso-orange.fr,30061,true,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
